,animal,date,stim,start,end,score,pre-max,pre-min,pre-mean,pre-stdev,pre-n,post-max,post-min,post-mean,post-stdev,post-n
0,AM304,11/1/2018,1.0,15:29:00,15:31:00,3+,37.679,36.974000000000004,37.42749750415973,0.12613640927091754,601.0,38.369,37.035,37.71809182249512,0.33851085472840525,3583.0
1,AM304,11/2/2018,2.0,14:39:30,14:41:30,3+,37.121,36.675,36.89627441077441,0.06435012092038694,594.0,38.598,35.787,37.89349564433764,0.5408132320674296,3329.0
2,AM304,11/3/2018,3.0,14:10:32,14:12:32,2-,37.035,36.431,36.79561871750433,0.09369476259607945,577.0,38.815,36.813,38.165131088227106,0.4685318178963391,3593.0
3,AM304,11/4/2018,4.0,13:27:00,13:29:00,4,36.77,32.274,36.524699481865284,0.2765192518546058,1158.0,38.232,36.468,37.372746675531914,0.5025264499572656,6016.0
4,AM304,11/5/2018,5.0,15:49:00,15:51:00,2,37.661,37.118,37.37841652613828,0.09477282686989928,593.0,38.244,37.121,37.68883324053452,0.26970046253333235,3592.0
5,AM304,11/6/2018,6.0,13:17:00,13:19:00,1,37.260999999999996,36.830999999999996,36.99785141903172,0.0630176459904444,599.0,38.168,36.074,37.704163783482144,0.22692785265265253,3584.0
6,AM304,11/6/2018,,13:23:32,13:25:32,2,37.383,36.779,37.02208180300501,0.0930630112682205,599.0,38.094,37.441,37.74702176339286,0.12601625993465854,3584.0
7,AM304,11/7/2018,7.0,14:49:15,14:51:15,2-,37.655,36.44,37.4278714524207,0.07362459125763289,599.0,38.567,37.255,38.14721888053467,0.2430552225615746,3591.0
8,AM304,11/8/2018,8.0,13:01:00,13:03:00,1,37.211999999999996,36.635999999999996,36.88291846921797,0.0888602742605085,601.0,38.668,34.102,38.07986555587475,0.34044922363489954,3481.0
9,AM304,11/8/2018,,13:08:02,13:08:30,3,37.74,36.635999999999996,37.12244630872483,0.31393158083973743,596.0,38.668,34.102,38.11556035469108,0.2810881600564792,3496.0
10,AM304,11/9/2018,9.0,13:39:00,13:41:00,1-,37.611999999999995,36.66,37.18151807228916,0.17143759827955998,581.0,39.541,34.571999999999996,37.6343884639898,0.16526697276342656,3138.0
11,AM304,11/9/2018,,13:45:04,13:47:03,2,37.844,36.66,37.10511206896552,0.24057646555325304,580.0,37.887,37.395,37.67590697674419,0.07203441045598724,3139.0
12,AM304,11/10/2018,10.0,13:02:10,13:04:10,0,37.066,35.128,36.86727787307033,0.11365250426652544,583.0,38.375,35.293,38.075854166666666,0.21249407715296495,3600.0
13,AM304,11/10/2018,,13:06:00,13:08:10,0,37.49,35.128,37.015024013722126,0.23274957289653372,583.0,38.375,35.293,38.10872611111111,0.13970360394869286,3600.0
14,AM305,11/10/2018,1.0,13:16:15,13:18:19,2+,37.344,34.545,36.85144537815126,0.22606513745147327,238.0,37.801,33.650999999999996,37.49905696026674,0.21607907095227433,3599.0
15,AM305,11/11/2018,2.0,12:58:00,13:00:00,0,36.742,33.938,36.460945,0.15563424646519136,600.0,37.139,35.857,36.757805,0.13047044114580658,3600.0
16,AM305,11/11/2018,,13:01:30,13:03:30,2,36.742,33.938,36.444376254180604,0.1536926730854456,598.0,37.292,36.419000000000004,36.79198193942762,0.13575873073213685,3599.0
17,AM305,11/12/2018,3.0,14:21:45,14:23:45,1-,37.298,36.657,36.95963,0.14613732079945285,1200.0,38.87,37.215,38.02169113149847,0.24404839029831726,7194.0
18,AM305,11/12/2018,,14:32:35,14:34:35,3,38.476,37.09,37.795950083194676,0.35016155781821817,1202.0,38.87,37.469,37.97894912427022,0.22468390245818695,7194.0
19,AM305,11/13/2018,4.0,12:31:00,12:33:00,0,37.771,36.843,37.384098333333334,0.24170622025780608,1200.0,38.598,36.639,37.96068713531537,0.4562705776103429,7198.0
20,AM305,11/13/2018,,12:39:00,12:41:00,3,37.255,36.791,37.00677870216306,0.09703197038218563,1202.0,38.598,37.205999999999996,38.11513333333333,0.3011443590532315,7200.0
21,AM305,11/14/2018,5.0,14:37:10,14:39:10,0,37.005,36.379,36.59263606010017,0.07309364635872785,1198.0,38.976,34.459,37.60506788247214,0.545249134477968,3948.0
22,AM305,11/14/2018,,14:40:45,14:42:47,2,37.005,36.355,36.636202003338894,0.08805525869657238,1198.0,38.976,34.459,37.703396656534956,0.468012090828169,3948.0
23,AM305,11/15/2018,6.0,14:45:50,14:47:50,0,37.399,36.944,37.10840151515151,0.0998965898662067,264.0,38.302,36.641999999999996,37.73035193971532,0.30274280628312406,7166.0
24,AM305,11/15/2018,,14:49:10,14:51:10,1,37.399,36.825,37.01052631578948,0.11156024584811727,646.0,38.302,36.684,37.752056082589284,0.2562155426144458,7168.0
25,AM305,11/16/2018,7.0,14:34:15,14:36:15,2,36.745,36.129,36.433115671641794,0.0989328936005793,536.0,38.14,32.088,37.46125425652667,0.36200506305675645,3524.0
26,AM305,11/17/2018,8.0,14:30:25,14:32:25,0,37.051,34.118,36.7005421686747,0.17572109669070837,581.0,37.911,36.871,37.49406981919333,0.13842052566056273,3595.0
27,AM305,11/17/2018,,14:36:00,14:38:00,3,37.606,36.419000000000004,36.84708739495798,0.26651669221911406,595.0,37.872,37.225,37.49994140516523,0.10448937297970373,3601.0
28,AM305,11/18/2018,9.0,16:14:15,16:16:15,1-,36.968,35.75,36.68804066543438,0.15244382757423253,541.0,38.757,34.926,38.01901390433815,0.3854182148821505,3596.0
29,AM305,11/18/2018,,16:18:45,16:20:45,2,37.292,35.75,36.786903171953256,0.221121799333362,599.0,38.757,37.041,38.053956062291434,0.30683875024690915,3596.0
30,AM305,11/19/2018,10.0,12:24:32,12:26:32,1,37.001999999999995,36.175,36.596329805996476,0.2040157936027546,567.0,38.403,36.013000000000005,37.7254147632312,0.4062077744667261,3590.0
31,AM305,11/19/2018,,12:29:05,12:31:12,0,36.871,35.311,36.46339329805996,0.14595287790874725,567.0,38.403,36.013000000000005,37.81026794657763,0.26611119602945177,3594.0
